time,flux
443.5107234056704,23709038.0
443.5311576414752,23710916.0
443.5515919775644,23709914.0
443.5720264137781,23711084.0
443.5924606502231,23713170.0
443.6128949868362,23718902.0
443.63332942369016,23728060.0
443.653763660659,23731626.0
443.6741979978542,23735916.0
443.6946324352903,23732452.0
443.7150666728994,23707376.0
443.7355010106767,23656174.0
443.75593534863583,23637208.0
443.7763697868286,23656440.0
443.7968040251872,23710250.0
443.8172383637284,23711322.0
443.8376728025032,23711674.0
443.8581070414439,23709956.0
443.8785413805672,23714988.0
443.8989758199241,23712770.0
443.9194100593886,23712398.0
443.939844399094,23716074.0
443.960278839033,23717312.0
443.9807130791378,23720684.0
444.0011474194253,23722644.0
444.02158175988734,23727246.0
444.042016100575,23734580.0
444.0624504414445,23741422.0
444.0828847824887,23746872.0
444.1033191237584,23749508.0
444.1237534651518,23750636.0
444.1441877068355,23750094.0
444.16462214862986,23735588.0
444.1850564906636,23701866.0
444.2054907328711,23683624.0
444.2463595178051,23727128.0
444.26679376059474,23727204.0
444.28722820361145,23722222.0
444.3076625467511,23716390.0
444.3280967900646,23712014.0
444.3485312336052,23709064.0
444.3689655773269,23710890.0
444.38939992128144,23713268.0
444.4098342654033,23715996.0
444.4302686097071,23717670.0
444.4507029541856,23718398.0
444.47113739883207,23721954.0
444.4915716437172,23729098.0
444.5120059887777,23731458.0
444.5324402340048,23735628.0
444.5528746794735,23738552.0
444.573309025116,23747754.0
444.5937432708743,23753148.0
444.61417771691777,23736836.0
444.6346120630842,23691574.0
444.6550464094762,23682062.0
444.6754807560501,23672550.0
444.6959151027986,23715726.0
444.7163494497727,23728760.0
444.7367837968704,23727534.0
444.7572181442592,23725260.0
444.7776524917572,23723584.0
444.798086839437,23719986.0
444.8185211873497,23714878.0
444.8389555354297,23714634.0
444.8593898836916,23718884.0
444.87982423212816,23720588.0
444.9002584807313,23722140.0
444.920692929576,23724502.0
444.96156152783806,23729902.0
444.9819958772059,23731850.0
445.00243032680737,23730414.0
445.02286457657465,23733148.0
445.0432989265246,23731692.0
445.0637333766499,23726428.0
445.084167727,23700518.0
445.10460197747307,23675060.0
445.12503642818047,23686146.0
445.1454707790545,23714000.0
445.1659050301678,23723388.0
445.1863394813991,23721152.0
445.2067738328551,23716282.0
445.2272080844923,23711528.0
445.2476425363057,23708786.0
445.2680768882856,23707508.0
445.28851114050485,23709628.0
445.30894559284206,23712212.0
445.32937994540407,23714114.0
445.3498142982062,23716256.0
445.370248551124,23721734.0
445.3906830042106,23722912.0
445.41111735753657,23716732.0
445.4315516110364,23719638.0
445.4519860647051,23720976.0
445.472420418555,23725314.0
445.4928546725787,23733512.0
445.5132891268295,23731826.0
445.5337234812614,23697660.0
445.554157735809,23641436.0
445.5745921905837,23644680.0
445.5950265455977,23694626.0
445.6154608007273,23723172.0
445.635895256084,23724858.0
445.6563296115637,23725330.0
445.6767639672762,23725052.0
445.697198323156,23719528.0
445.7176326792178,23714608.0
445.7380669355116,23695770.0
445.75850139191607,23721700.0
445.7789357485599,23718774.0
445.7993700053776,23718496.0
445.81980436236336,23717402.0
445.8402388195318,23714722.0
445.86067307687335,23715220.0
445.8811074344412,23720952.0
445.9015418921336,23721924.0
445.9219761500572,23726042.0
445.9424105081489,23736772.0
445.9628449664233,23744038.0
445.9832792248708,23720230.0
446.0037135834864,23679058.0
446.0241480422847,23670904.0
446.044582401315,23733842.0
446.0650166604537,23743090.0
446.085451119834,23744812.0
446.1058854793882,23745260.0
446.126319739109,23740862.0
446.1467541990132,23733068.0
446.1671885590913,23727838.0
446.18762281939416,23722894.0
446.20805727982224,23718032.0
446.2284916404824,23720918.0
446.2489259013091,23724814.0
446.2693602622603,23726034.0
446.2897947235033,23724706.0
446.3102289848539,23725034.0
446.3306633463872,23730124.0
446.3510978080958,23735928.0
446.37153216997103,23737628.0
446.3919664320856,23739918.0
446.4124008943181,23745690.0
446.4328352567754,23723788.0
446.4532695194139,23665530.0
446.47370398222847,23642534.0
446.4941382452089,23683732.0
446.514572608372,23728046.0
446.5350070717104,23738324.0
446.5554413352147,23737404.0
446.57587569890165,23734498.0
446.5963101628222,23729048.0
446.6167444268504,23724008.0
446.63717879111937,23721054.0
446.6576132555056,23720584.0
446.6780475201158,23724034.0
446.6984818849087,23728108.0
446.7189162498762,23729138.0
446.7393506150111,23730358.0
446.7597849803278,23730026.0
446.7802193458192,23729232.0
446.8006538114787,23729374.0
446.82108807731856,23729676.0
446.841522443392,23731800.0
446.8619569095754,23735568.0
446.8823911759973,23728130.0
446.9028255425365,23701784.0
446.9232600093019,23691650.0
446.9436942761895,23719620.0
446.9641286433107,23741978.0
446.9845631106,23744846.0
447.00499737801147,23744098.0
447.0254317456565,23740694.0
447.0458662134697,23738968.0
447.066300581464,23741566.0
447.0867348496322,23745888.0
447.1071692179685,23747772.0
447.1276036864874,23746336.0
447.14803795517946,23743844.0
447.1684723240396,23744512.0
447.1889067930824,23757172.0
447.2093410622984,23776118.0
447.22977543174056,23790788.0
447.2502098013065,23808586.0
447.270644171047,23807112.0
447.2910785410131,23812402.0
447.3115129111029,23814192.0
447.3319472813673,23800192.0
447.3523816518573,23748440.0
447.3728160224709,23707854.0
447.39325039331743,23733786.0
447.41368476427306,23776448.0
447.4341192354696,23787542.0
447.45455350678094,23783926.0
447.4749878783186,23783406.0
447.4954223499808,23776654.0
447.5158566218743,23772540.0
447.5362909938776,23765198.0
447.55672526612034,23759092.0
447.577159738481,23757970.0
447.5975941110664,23757910.0
447.6180284837756,23758548.0
447.6384628567175,23760498.0
447.6588972297686,23761252.0
447.67933160305984,23763392.0
447.69976597646746,23763760.0
447.72020035010064,23762596.0
447.7406347238575,23764054.0
447.761069197848,23767608.0
447.78150347194605,23768102.0
447.801937846285,23741788.0
447.82237232073385,23715662.0
447.8428065954213,23731248.0
447.8632409702259,23763294.0
447.8836754452641,23773086.0
447.9041097204099,23770362.0
447.9245440957384,23770768.0
447.9654128469701,23773276.0
447.9858472228225,23770244.0
448.0062816988502,23769098.0
448.026715975102,23769596.0
448.0471503514782,23767258.0
448.067584728029,23763712.0
448.0880191047472,23758502.0
448.1084534816473,23752984.0
448.128887858722,23749222.0
448.14932223596406,23745516.0
448.169756613388,23747412.0
448.1901908909858,23753734.0
448.2106253687525,23759844.0
448.2310597466421,23763588.0
448.2514940247638,23732518.0
448.2719285030544,23684840.0
448.2923628814679,23694294.0
448.31279726011417,23743324.0
448.3332316388696,23771842.0
448.3536660178652,23777956.0
448.3741003969772,23782866.0
448.3945347762565,23787330.0
448.4149691557759,23790742.0
448.43540353541175,23793204.0
448.4558380152157,23791826.0
448.4762722952,23790164.0
448.49670667535975,23787512.0
448.5171409556861,23782368.0
448.53757543619577,23778592.0
448.55800981682114,23777202.0
448.5784440976713,23771350.0
448.5988785787049,23767104.0
448.6193129598541,23768988.0
448.63974734122894,23770704.0
448.6601817227274,23772098.0
448.6806161044005,23774586.0
448.701050486241,23760146.0
448.7214848683216,23733796.0
448.74191925051855,23738116.0
448.7623536328247,23770274.0
448.78278811537166,23789472.0
448.8032223980845,23788950.0
448.82365678092174,23788520.0
448.84409116399183,23787282.0
448.8645255471784,23785190.0
448.8849599305322,23787536.0
448.90539431412617,23792884.0
448.9258286978293,23795800.0
448.9462630817143,23797388.0
448.9666974657157,23796666.0
448.98713184995,23797508.0
449.00756623435154,23796308.0
449.02800051887607,23789858.0
449.0484350036277,23788784.0
449.0688693885022,23789188.0
449.0893036735506,23790726.0
449.1097381587752,23796860.0
449.1301725441663,23801464.0
449.1506068296803,23779348.0
449.1710413154215,23730164.0
449.1914757013437,23713926.0
449.21190998738166,23758016.0
449.2323444735957,23803474.0
449.2527788599764,23811900.0
449.2732131465382,23815514.0
449.2936476332689,23820114.0
449.3140820201807,23826830.0
449.33451640720887,23827972.0
449.3549507944699,23823284.0
449.3753851818401,23821504.0
449.3958195693922,23819466.0
449.4162539571116,23822210.0
449.43668834501295,23822172.0
449.4571227330307,23821528.0
449.4775572212748,23819960.0
449.497991509641,23822944.0
449.5184258982408,23825902.0
449.5388601868981,23826036.0
449.5592946757824,23830806.0
449.5797290648479,23832172.0
449.6001634540298,23815776.0
449.6205978434373,23783380.0
449.6410322329684,23765388.0
449.6614666226669,23788700.0
449.6819010125473,23817516.0
449.70233540260233,23826450.0
449.722769692773,23827270.0
449.7432041831125,23830288.0
449.7636385736332,23835494.0
449.78407286432775,23836078.0
449.8045073551912,23837804.0
449.8249417462357,23838542.0
449.8453760373959,23841376.0
449.865810528725,23840962.0
449.8862449202352,23838148.0
449.90667921191925,23836432.0
449.9271137037722,23833470.0
449.94754809574806,23829050.0
449.9884167802156,23826402.0
450.0088512727161,23821356.0
450.0292856653832,23816084.0
450.0497199581732,23799038.0
450.0701544511976,23752298.0
450.0905888443376,23716356.0
450.1110231376442,23753268.0
450.1314576310761,23804094.0
450.1518920247327,23822974.0
450.1723263185122,23827730.0
450.1927608124679,23830524.0
450.2131952065975,23830232.0
450.2336295008354,23830332.0
450.25406399525673,23832558.0
450.2744983898447,23833304.0
450.2949327846145,23834650.0
450.31536717955896,23837310.0
450.33580157461984,23837616.0
450.3562359699063,23841618.0
450.3766703653164,23840904.0
450.3971047608357,23843702.0
450.417539156595,23842240.0
450.4379735524708,23836812.0
450.4584079485212,23832766.0
450.4788422447382,23829574.0
450.4992766410796,23818420.0
450.5197111376474,23787198.0
450.5401454343373,23760120.0
450.5605798311444,23777434.0
450.5810143281778,23808368.0
450.60144862533343,23821530.0
450.6218830226644,23820726.0
450.6423175201635,23820166.0
450.66275181784295,23819852.0
450.6831862156396,23823340.0
450.7036207136043,23830468.0
450.7240551117502,23833322.0
450.7444894100117,23836134.0
450.7649239085004,23836396.0
450.7853583071119,23835312.0
450.8057926058391,23837592.0
450.82622710479336,23839130.0
450.84666150387056,23838138.0
450.8670958031216,23834612.0
450.8875303025416,23828556.0
450.9283990018012,23817578.0
450.9488335016868,23812558.0
450.9692679016953,23777114.0
450.9897022019359,23730796.0
451.01013660222816,23742918.0
451.0305711027613,23793110.0
451.05100550346833,23817914.0
451.071439804291,23820104.0
451.09187430522434,23824282.0
451.112308706397,23826436.0
451.1327430076781,23827584.0
451.15317750914255,23829058.0
451.1736119107809,23826170.0
451.1940462125349,23826184.0
451.21448071445775,23825446.0
451.23491511656175,23825830.0
451.2553494187741,23830458.0
451.27578392116993,23840798.0
451.2962183237396,23848464.0
451.3166526264249,23853222.0
451.3370871293373,23852904.0
451.35752143231366,23849432.0
451.37795583551633,23845804.0
451.39839033884346,23841360.0
451.4188247423445,23818350.0
451.4392590459611,23784286.0
451.4596935498048,23782242.0
451.4801279537714,23810094.0
451.50056225784647,23827714.0
451.5209966621624,23827814.0
451.5414311665954,23825270.0
451.5618654711434,23824518.0
451.58229987591767,23825216.0
451.6027343808164,23825120.0
451.6231686858228,23824266.0
451.64360309101176,23825086.0
451.66403759637615,23827672.0
451.6844719019136,23828846.0
451.704906307561,23827914.0
451.7253408133911,23830618.0
451.7457752193877,23832654.0
451.7662095255073,23834428.0
451.786644031803,23834814.0
451.8070784382071,23833418.0
451.82751274479233,23832184.0
451.8479472515537,23828326.0
451.86838165842346,23801828.0
451.88881596553256,23751292.0
451.9092504727014,23737616.0
451.929684880095,23782474.0
451.9501191876116,23818692.0
451.97055369524605,23825192.0
451.99098810304713,23829074.0
452.0114225110301,23827454.0
452.0318568191869,23827296.0
452.0522913274544,23825718.0
452.0727256359023,23826238.0
452.09316004446737,23829514.0
452.1135945532005,23831288.0
452.13402886211406,23833518.0
452.1544632711448,23834098.0
452.1748977803436,23834972.0
452.1953320896646,23835272.0
452.21576649916096,23836026.0
452.2362010088255,23834518.0
452.2566353186121,23832702.0
452.2770697285741,23832106.0
452.2975042387043,23830622.0
452.3179385489566,23813910.0
452.3383729593843,23776640.0
