time,flux
808.5568772374027,39303.2265625
808.5773116344353,39310.6328125
808.5977460317663,39301.55078125
808.6181805292144,39300.296875
808.6386149268874,39297.078125
808.6590492247997,39296.515625
808.6794837228881,39313.6015625
808.6999181212013,39301.2578125
808.7203524196957,39310.57421875
808.7407869184244,39339.69140625
808.7612213173779,39306.125
808.7816556164544,39311.22265625
808.8020901158161,39305.796875
808.8225245153008,39303.1484375
808.8429590150772,39295.90625
808.8633933150268,39308.0390625
808.8838277151444,39303.140625
808.9042621155022,39306.82421875
808.9246965160273,39312.2578125
808.9451309167926,39293.2421875
808.9655653177906,39300.16015625
808.9859997189633,39290.58203125
809.0064342203041,39289.55859375
809.0268685218834,39294.39453125
809.0473029236309,39314.98046875
809.0677374256193,39314.60546875
809.0881717278389,39317.62109375
809.1086061301758,39306.91796875
809.1290406327971,39310.6640625
809.1494749355988,39326.94140625
809.1699093385687,39292.765625
809.1903438417794,39307.015625
809.210778245164,39299.4296875
809.2312126487741,39300.08203125
809.2516470525661,39321.66796875
809.272081456591,39313.6171875
809.2925158607832,39319.3203125
809.3129502651573,39323.375
809.3333846698224,39307.69921875
809.3538191745974,39301.10546875
809.3742534796111,39301.11328125
809.394687984859,39324.21875
809.4151223902736,39316.1171875
809.4355566958693,39298.18359375
809.4559912016994,39311.8984375
809.476425607696,39309.4609375
809.496859913932,39290.30078125
809.5172944204023,39292.703125
809.537728826981,39307.953125
809.5581631337991,39309.92578125
809.5785976408515,39310.4140625
809.5990319480698,39303.5859375
809.6194664555296,39309.79296875
809.6399008631633,39320.40234375
809.6603351709637,39299.23828125
809.6807696790056,39289.6328125
809.7012040872214,39285.92578125
809.7216384956628,39298.4296875
809.742072904286,39306.21875
809.7625073130839,39313.5625
809.7829417221074,39299.13671875
809.8033761313709,39319.4921875
809.8238105407509,39308.62109375
809.8442450504153,39322.4921875
809.8646794602028,39301.96484375
809.8851137702222,39295.55859375
809.9055482804688,39323.95703125
809.9259826908965,39303.59375
809.946417001498,39309.35546875
809.9668515123267,39308.828125
809.9872859233365,39307.1328125
810.0077204345725,39306.703125
810.028154745989,39306.49609375
810.0485891575809,39311.828125
810.069023669399,39309.3515625
810.0894579813976,39293.66796875
810.1098923936297,39312.90234375
810.13032690603,39298.79296875
810.1507612186106,39314.5703125
810.1711956314248,39316.7421875
810.1916301444071,39326.0390625
810.212064457628,39312.921875
810.232498971025,39325.890625
810.2529332845879,39320.24609375
810.2733676983917,39319.234375
810.2938022123708,39327.9921875
810.314236526523,39317.08984375
810.3346709409016,39318.2265625
810.3551054554628,39305.0703125
810.3755398702488,39308.4375
810.3959742852167,39320.10546875
810.4164087004174,39305.203125
810.4368431157272,39307.6484375
810.4572775312772,39312.515625
810.47771194706,39326.2578125
810.4981463630102,39302.10546875
810.518580879143,39321.6328125
810.5390151954489,39322.3046875
810.5594496119811,39311.85546875
810.5798841287542,39310.4375
810.6003184456422,39315.22265625
810.6411873801117,39310.078125
810.6616216975817,39310.140625
810.6820562152789,39313.671875
810.7024906332153,39313.34375
810.7229249512675,39299.78125
810.7433594696049,39320.3046875
810.7637938880653,39312.421875
810.7842284067592,39305.01171875
810.804662725619,39330.45703125
810.8250971446614,39311.30078125
810.8455316639302,39333.24609375
810.8659659833793,39325.8125
810.886400403062,39323.46875
810.9068348229193,39314.85546875
810.927269242944,39307.16796875
810.9477036631506,39326.7109375
810.96813808359,39321.94140625
810.9885725041968,39317.8125
811.0090070249862,39329.18359375
811.0294413460069,39329.515625
811.0498757671958,39330.84765625
811.0703102886255,39321.9296875
811.0907447101636,39326.328125
811.111179031941,39317.3515625
811.1316135538946,39331.15625
811.1520479760802,39319.75
811.1724822984324,39338.125
811.1929168209681,39317.03125
811.2133512436703,39333.84375
811.2337857666134,39331.55078125
811.2542200897296,39325.5
811.2746545130722,39313.87890625
811.2950890365391,39326.5703125
811.3155233602374,39317.8125
811.335957784162,39331.2265625
811.3563923082111,39330.33203125
811.3768266324914,39320.44921875
811.3972611569407,39329.35546875
811.4176955816292,39331.94921875
811.4381299064335,39329.4765625
811.4585644314648,39323.5625
811.4789988566772,39341.5078125
811.4994331821217,39313.65234375
811.5198677077351,39319.5859375
811.5403020335289,39335.3359375
811.560736459498,39328.32421875
811.5811709856353,39318.03515625
811.6016054120118,39345.09765625
811.6220398386213,39330.79296875
811.6424742653398,39330.44140625
811.6629086922985,39322.41796875
811.6833431194318,39328.1484375
811.7037775467325,39337.59765625
811.724211974215,39331.515625
811.7446465019311,39334.3046875
811.7650808298131,39328.60546875
811.7855153578785,39321.74609375
811.8059497861104,39332.13671875
811.8263841145817,39332.26171875
811.8468186432292,39327.46875
811.8672530720505,39337.25390625
811.8876874010384,39331.01953125
811.908121930268,39336.08203125
811.9285563596641,39324.44921875
811.9489906892413,39323.28515625
811.9694252189947,39312.25
811.9898596489802,39321.76953125
812.0102941791338,39339.046875
812.0307285094677,39340.84765625
812.0511629399698,39339.5859375
812.0715973706538,39331.39453125
812.0920318015706,39330.9453125
812.112466232662,39335.49609375
812.1329007639215,39325.265625
812.1533350954196,39327.0546875
812.1737696270284,39339.3828125
812.1942039588757,39337.19140625
812.2146383908985,39332.1484375
812.2350729230893,39345.23046875
812.2555073555195,39330.52734375
812.2759416880654,39338.765625
812.2963762208383,39327.37890625
812.3168106537923,39345.96484375
812.3372449869203,39326.8828125
812.3576795202753,39335.35546875
812.3781139537532,39343.37109375
812.3985484874647,39357.61328125
812.4189828213421,39336.6796875
812.4394172554021,39333.453125
812.4598517896957,39343.56640625
812.4802861240969,39327.78125
812.500720558739,39347.296875
812.5211550935564,39343.51953125
812.5415894285397,39353.59765625
812.5620239637065,39346.36328125
812.5824583991052,39340.1484375
812.6028927346124,39342.1875
812.6233272703612,39349.7265625
812.643761706342,39353.99609375
812.6641960424313,39336.515625
812.684630578704,39343.17578125
812.7050650152087,39340.8984375
812.7254994518225,39344.6875
812.7459338886765,39344.65625
812.7663683257051,39338.73828125
812.7868027629011,39352.6484375
812.8072372003371,39346.90625
812.8276716378896,39362.546875
812.8481060756676,39348.8984375
812.8685405135693,39346.23828125
812.8889749517039,39338.2109375
812.9094094900065,39347.4375
812.9298438285477,39335.5546875
812.9502783672069,39342.2578125
812.9707128060909,39355.2109375
812.9911471450978,39359.89453125
813.0115816843318,39338.734375
813.0320161237469,39341.95703125
813.0524504633358,39354.6796875
813.072885003101,39348.18359375
813.0933194430327,39363.15234375
813.1137537832037,39339.25390625
813.1341883234854,39345.25390625
813.1546227640065,39359.12109375
813.1750573047029,39349.37109375
813.1954916455725,39352.7734375
813.2159260866101,39355.5078125
813.2363606278304,39362.484375
