time,flux
539.4707711324372,8208.537109375
539.4912050740022,8135.66064453125
539.5116391153279,8093.56591796875
539.5320729561936,8019.8271484375
539.5525068970601,7961.72119140625
539.5729409374617,7924.72705078125
539.5933747778545,7912.74267578125
539.6138087177897,7889.5869140625
539.6342427574855,7854.34912109375
539.6546765971871,7829.70068359375
539.6751105364237,7761.8056640625
539.6955445754284,7693.41357421875
539.7159785141921,7611.18212890625
539.7364123529624,7538.59423828125
539.7568463912612,7474.41552734375
539.7772803293337,7419.42578125
539.7977141671727,7347.5654296875
539.8181482047803,7236.78466796875
539.8385820421463,7157.86669921875
539.8590160792883,7117.47998046875
539.8794500159565,7043.59912109375
539.8998838526313,6979.1513671875
539.9203178890748,6929.984375
539.9407518252847,6825.0703125
539.9611856612537,6691.20654296875
539.9816196967658,6603.13720703125
540.00205363227,6540.3671875
540.0224874673149,6472.2919921875
540.0429215023614,6382.0615234375
540.0633554369415,6292.3359375
540.0837893715143,6247.26123046875
540.1042233056287,6154.95849609375
540.124657239503,6032.34521484375
540.1450912733853,5903.0693359375
540.1655251068005,5898.6875
540.1859590399836,5881.689453125
540.2063930729273,5770.6748046875
540.2268270058776,5655.8203125
540.2472608383541,5636.13671875
540.2676948706066,5598.2490234375
540.2881288026256,5426.68994140625
540.3085626344109,5286.0087890625
540.3289966657248,5216.75048828125
540.3494305970453,5234.25341796875
540.3698644281249,5099.458984375
540.3902984589804,4943.10400390625
540.4107323896023,4903.3984375
540.4311662197506,4878.494140625
540.4516002499076,4701.353515625
540.4720340798303,4578.61181640625
540.4924681092816,4532.298828125
540.5129020387394,4526.0986328125
540.5333358677308,4370.89599609375
540.5537698964836,4266.89697265625
540.5742038252429,4158.92822265625
540.5946377535365,4117.08837890625
540.61507168159,4011.98291015625
540.635505609418,3862.806396484375
540.655939537246,3807.081298828125
540.676373464601,3799.067138671875
540.6968073917305,3695.5595703125
540.7172413186272,3543.69873046875
540.7376753452845,3462.274658203125
540.7581091717148,3496.678466796875
540.7785431976808,3418.186279296875
540.7989771236389,3266.687744140625
540.8194109493706,3186.822998046875
540.8398449748638,3178.3466796875
540.8602788998978,3138.9326171875
540.8807127249311,2990.816162109375
540.901146749733,2906.67724609375
540.9215806740613,2886.685546875
540.942014498396,2849.04296875
540.9624485222594,2701.132080078125
540.9828824458964,2617.359375
541.0033162695327,2616.7939453125
541.0237502927048,2581.08544921875
541.044184215636,2503.76806640625
541.0646182383425,2371.119873046875
541.0850520610402,2349.916015625
541.1259199052874,2224.021240234375
541.1463538270618,2136.7041015625
541.1667877483633,2121.84912109375
541.187221669672,2132.206787109375
541.2076555907406,1974.149169921875
541.2280895115837,1901.8397216796875
541.2485234321939,1882.660888671875
541.2689573523385,1894.78515625
541.2893912724758,1758.1572265625
541.3098252921554,1657.6474609375
541.3302591118263,1638.76318359375
541.3506931310403,1661.9427490234375
541.3711270502536,1538.96142578125
541.3915608690004,1444.963623046875
541.4119948875086,1433.5145263671875
541.4324288060234,1442.491455078125
541.4528626240644,1380.4947509765625
541.4732966418815,1267.704345703125
541.4937305594649,1256.92724609375
541.5141643768147,1246.2598876953125
541.534598393926,1184.9373779296875
541.5550323108109,1101.4234619140625
541.5754662274558,1080.797607421875
541.5959001436422,1068.6568603515625
541.6163340598287,1029.2091064453125
541.636767975775,957.7716674804688
541.6572018914958,900.385009765625
541.6776358067509,901.5462036132812
541.6980698219995,865.2628784179688
541.7185036367882,801.224609375
541.7389375515777,794.5433349609375
541.759371565895,781.8256225585938
541.779805479986,735.6201171875
541.8002392938433,678.70849609375
541.820673307695,667.0266723632812
541.8411071210867,654.7362060546875
541.8615410342463,617.2440185546875
541.8819750471666,597.5345458984375
541.9024088598599,591.0470581054688
541.922842772321,590.8956909179688
541.9432767845428,581.5514526367188
541.9637105963047,522.565673828125
541.9841446080682,567.031982421875
542.0045785195907,526.9393310546875
542.0250123306541,520.8311767578125
542.0454463417191,489.8577270507813
542.0658802523103,457.3696594238281
542.0863140629081,491.3631896972656
542.1067480730417,481.2914123535156
542.1271819831672,431.0750427246094
542.1476158928344,446.1060180664063
542.1680498022688,506.9856262207031
542.188483711463,470.3213195800781
542.2089176204317,450.1910095214844
542.2293516291684,440.5037231445313
542.2497854376634,447.2835083007813
542.2702194459343,428.3899230957031
542.2906533539644,421.9139709472656
542.3110871617682,414.6654357910156
542.3315211693407,455.9612426757813
542.3519550764468,442.4175720214844
542.3723888835448,450.0327758789063
542.3928228904188,432.3396301269531
542.413256796819,418.5599060058594
542.433690602993,416.31341552734375
542.4541246091685,421.8680114746094
542.4745585148776,450.9252624511719
542.4949923203458,444.1867980957031
542.5154263258228,428.1537170410156
542.5358601308326,425.758056640625
542.5562941356038,446.1960754394531
542.5767280401487,433.7848510742188
542.5971618444601,442.83831787109375
542.6175958485328,458.9232482910156
542.6380297521464,449.1818237304688
542.6584636557527,442.6122131347656
542.6788975591335,453.2780456542969
542.6993314622814,448.2701721191406
542.7197653649637,407.9118041992188
542.7401992676387,446.40478515625
542.7606331698553,440.0599365234375
542.7810670720646,443.6054382324219
542.8015010738163,400.4376220703125
542.8219348753337,404.93115234375
542.8423687766117,408.5345764160156
542.8628027778977,411.1883239746094
542.8832365787166,413.2665710449219
542.9036705792969,385.6676940917969
542.9241044796509,426.4006652832031
542.9445382795384,400.7713623046875
542.9649722794202,412.7207336425781
542.9854061790757,413.6124877929688
543.0058399784975,405.7729797363281
543.026273977448,381.3505554199219
543.046707876405,383.8572998046875
543.0671417748963,373.0670776367188
543.0875756733803,330.3564147949219
543.108009571406,346.0478515625
543.1284434694317,333.752197265625
543.1488773669844,323.490966796875
543.1693112643115,287.5827941894531
543.1897451614059,294.06817626953125
543.2101790582601,308.19830322265625
543.2306129548888,302.1612548828125
