time,flux
1001.24883006428,275783.78125
1001.2692632850012,275755.40625
1001.289696605716,275733.15625
1001.3101297259708,275771.59375
1001.3305629462266,275786.90625
1001.3509962662428,275784.5
1001.3714293862648,275746.9375
1001.3918626060548,275749.21875
1001.4122959256056,275742.09375
1001.43272914493,275745.65625
1001.4531622642536,275749.65625
1001.4735955831056,275763.8125
1001.4940288021972,275728.75
1001.5144619208222,275787.15625
1001.5348952394417,275730.5
1001.5553283578338,275751.25
1001.5757616759948,275740.3125
1001.5961948939148,275746.53125
1001.6166280118414,275726.9375
1001.6370613295368,275760.78125
1001.657494547224,275720.03125
1001.677927664452,275726.59375
1001.6983609816816,275727.59375
1001.7187941986704,275729.8125
1001.7392273156656,275680.09375
1001.7596606324296,275712.03125
1001.7800938489528,275701.3125
1001.8005270652502,275681.6875
1001.8209602815476,275748.78125
1001.8413934973725,275673.84375
1001.8618268134378,275706.71875
1001.882259929036,275674.5625
1001.9026931446278,275686.875
1001.9231264599948,275678.8125
1001.9435596751282,275671.21875
1001.9639927900208,275688.65625
1001.984426104922,275653.21875
1002.0048593195824,275655.46875
1002.0252924342494,275656.78125
1002.0457257484522,275676.59375
1002.0661589626544,275651.8125
1002.0865920766156,275632.46875
1002.1070253905856,275676.96875
1002.1274586043146,275643.375
1002.1478918178182,275652.59375
1002.1683250310888,275624.40625
1002.1887581443588,275600.9375
1002.2091914573904,275582.875
1002.2296246701952,275623.5
1002.2500577827668,275635.15625
1002.2704910953324,275603.3125
1002.290924307672,275598.5625
1002.3113575197784,275567.96875
1002.3317907318778,275588.34375
1002.3522239437516,275556.65625
1002.372657255386,275561.15625
1002.3930903667932,275571.375
1002.4135235782014,275586.03125
1002.4339568893702,275545.25
1002.4543901003126,275513.4375
1002.4748232112544,275518.4375
1002.4952565219572,275530.03125
1002.515689732434,275523.28125
1002.5361228426772,275521.84375
1002.5565561529148,275488.84375
1002.5769893629258,275473.75
1002.5974224727032,275462.25
1002.6178557824752,275484.5
1002.6382889920204,275462.78125
1002.658722301334,275425.75
1002.6791554104057,275449.4375
1002.6995886194854,275433.3125
1002.7200219283332,275395.5
1002.7404550369392,275414.15625
1002.7608882455534,275423.1875
1002.7813215539354,275420.625
1002.8017546620758,275432.125
1002.8221878699916,275396.90625
1002.8426210779072,275390.84375
1002.8630542855826,275387.1875
1002.8834874930326,275365.25
1002.9039207004826,275346.65625
1002.9243539074596,275352.5625
1002.9447872146776,275352.375
1002.9652203214282,275363.875
1002.9856535281724,275315.28125
1003.0060868346918,275351.125
1003.0265200409776,275344.59375
1003.0469531472554,275310.0
1003.0673864530764,275305.90625
1003.0878196591292,275331.8125
1003.1082527647086,275325.40625
1003.1286860702968,275304.5625
1003.1491192756512,275314.625
1003.1695525807664,275310.46875
1003.1899856858872,275266.84375
1003.210418890776,275283.4375
1003.2308521954257,275263.0625
1003.251285299848,275237.46875
1003.2717185042712,275234.40625
1003.3125849124116,275237.5
1003.333018116362,275257.46875
1003.3534514200874,275251.9375
1003.3738845235785,275227.8125
1003.3943177270704,275232.25
1003.41475103009,275212.34375
1003.4351841333482,275227.09375
1003.4556174361352,275265.8125
1003.4760506389284,275212.25
1003.496483841256,275210.90625
1003.5169170438094,275189.09375
1003.5373502459042,275208.625
1003.5577833479985,275185.4375
1003.578216649854,275168.03125
