time,flux
1472.1382122338982,249334.546875
1472.1586449230672,249361.734375
1472.1790778124705,249352.796875
1472.1995106019822,249361.546875
1472.2199432917332,249330.734375
1472.2403761816604,249355.359375
1472.2608089718124,249355.21875
1472.2812416621457,249327.734375
1472.3016745526547,249330.171875
1472.3221073433888,249342.890625
1472.3425401343047,249322.234375
1472.3629729254535,249371.65625
1472.3834057167696,249353.296875
1472.4038386082684,249369.4375
1472.4242712999985,249365.6875
1472.4447040918967,249336.921875
1472.4651369839776,249398.34375
1472.4855697762832,249422.125
1472.50600246877,249386.890625
1472.5264353614912,249400.5
1472.5468681543862,249423.0
1472.5673009474483,249424.203125
1472.587733740751,249389.078125
1472.6081665342208,249404.265625
1472.6285993279307,249459.546875
1472.6490321218153,249412.90625
1472.6694649158744,249341.609375
1472.6898977101591,249391.15625
1472.7103305046255,249407.6875
1472.7307631993244,249416.640625
1472.751196094192,249404.5625
1472.771628889241,249374.90625
1472.7920617845157,249393.875
1472.812494479971,249378.734375
1472.83292727566,249374.5
1472.8533601715171,249384.75
1472.8737928676128,249357.546875
1472.8942256638838,249350.28125
1472.914658560323,249326.84375
1472.9350912570007,249336.046875
1472.975956950933,249333.5625
1472.996389748194,249307.53125
1473.016822545629,249335.546875
1473.03725534329,249307.953125
1473.0576881411907,249369.8125
1473.0781209392662,249344.703125
1473.098553737509,249341.75
1473.1189865359338,249335.625
1473.1394194346503,249339.9375
1473.1598521334745,249306.15625
1473.1802850325405,249309.703125
1473.200717831838,249321.3125
1473.2211505313026,249308.5
1473.2415834309504,249347.0625
1473.2620162308303,249318.328125
1473.282448930935,249323.890625
1473.3028818312232,249322.8125
1473.3233146316852,249368.96875
1473.343747332372,249364.859375
1473.3641802332422,249346.515625
1473.3846129342855,249346.046875
1473.405045835556,249377.640625
1473.4254786370657,249398.453125
1473.4459113387493,249403.828125
1473.46634424066,249401.109375
1473.4867770427518,249358.234375
1473.5072098450182,249377.984375
1473.5276426475102,249358.921875
1473.5480754502423,249366.96875
1473.5685083531423,249363.9375
1473.5889410562231,249368.84375
1473.6093738595373,249378.390625
1473.6502395667412,249389.15625
1473.670672270695,249366.171875
1473.6911051748175,249355.8125
1473.7115379791212,249333.34375
1473.731970683657,249353.46875
1473.752403588369,249365.8125
1473.7728363933056,249340.96875
1473.7932691984824,249394.59375
1473.8137020038266,249348.109375
1473.8341348093527,249332.953125
1473.8545677151124,249307.765625
1473.875000421103,249342.03125
1473.8954332272624,249329.953125
1473.9158660336034,249340.859375
1473.93629884017,249344.140625
1473.956731746919,249354.03125
1473.9771644539578,249326.84375
1473.9975972611064,249310.609375
1474.018030168496,249326.390625
1474.038462876117,249301.140625
1474.0588956839056,249297.609375
1474.0793285918771,249292.078125
1474.0997613001382,249326.34375
1474.1201941085092,249318.484375
1474.1406270171792,249308.640625
1474.1610597260224,249346.75
1474.1814926350344,249356.28125
1474.2019254442855,249369.3125
1474.2223582537115,249375.671875
1474.2427910633633,249342.953125
1474.263223873255,249339.625
1474.2836566833212,249363.46875
1474.3040895935555,249393.359375
1474.3245223040285,249334.546875
1474.3449552147358,249399.0
1474.3653880256095,249331.1875
1474.385820736723,249363.1875
1474.4062536480633,249371.328125
1474.4266864595263,249382.15625
1474.44711917128,249377.875
1474.4675520832095,249365.296875
1474.4879848953642,249364.84375
1474.5084176076998,249338.8125
1474.5288505202625,249372.859375
1474.5492833330063,249329.40625
1474.569716145983,249354.984375
1474.5901489591342,249347.890625
1474.610581772511,249346.53125
1474.631014586128,249326.734375
1474.6514473999125,249302.078125
1474.671880213937,249288.1875
1474.6923130281357,249281.671875
1474.7127458425675,249312.765625
1474.7331787572257,249269.0
1474.7536114720642,249336.046875
1474.774044287129,249308.671875
1474.7944772023766,249331.234375
1474.8149099178554,249284.171875
1474.8353427335678,249305.765625
1474.8557756494483,249294.09375
1474.87620846551,249294.140625
1474.8966411818546,249306.015625
1474.9170740983827,249291.484375
1474.937506915085,249296.84375
1474.9579397320122,249256.390625
1474.9783725491798,249252.671875
1474.998805366522,249244.828125
1475.0192382840903,249250.28125
1475.0396710018977,249264.296875
1475.0601038198802,249251.703125
1475.080536738089,249285.546875
1475.1009694564782,249271.3125
1475.1214023751018,249297.140625
1475.14183519395,249247.078125
1475.1622679129796,249237.84375
1475.1827008322434,249262.40625
1475.203133651732,249247.046875
1475.2235663714018,249227.46875
1475.243999291306,249185.859375
